strain	Sample_ID	Sample_Source	Data_Source	date	Location	Region	Serotype	Sero_Geno	Lineage
FJ850078.1	DENV-2/BR/BID-V2386/2003	Henn_2009	NCBI	2003-XX-XX	Brazil	South-America	2	2_III	2III
FJ850082.1	DENV-2/BR/BID-V2390/2004	Henn_2009	NCBI	2004-XX-XX	Brazil	South-America	2	2_III	2III
FJ850085.1	DENV-2/BR/BID-V2393/2005	Henn_2009	NCBI	2005-XX-XX	Brazil	South-America	2	2_III	2III
FJ850088.1	DENV-2/BR/BID-V2396/2006	Henn_2009	NCBI	2006-XX-XX	Brazil	South-America	2	2_III	2III
FJ850091.1	DENV-2/BR/BID-V2399/2007	Henn_2009	NCBI	2007-XX-XX	Brazil	South-America	2	2_III	2III_C
GQ199890.1	DENV-2/BR/BID-V2402/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GQ868549.1	DENV-2/BR/BID-V3481/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GQ868550.1	DENV-2/BR/BID-V3483/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GQ868551.1	DENV-2/BR/BID-V3486/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GQ868640.1	DENV-2/BR/BID-V2385/2003	Henn_2009	NCBI	2003-XX-XX	Brazil	South-America	2	2_III	2III
GU131864.1	DENV-2/BR/BID-V3495/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GU131879.1	DENV-2/BR/BID-V3638/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GU131880.1	DENV-2/BR/BID-V3640/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GU131881.1	DENV-2/BR/BID-V3644/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GU131882.1	DENV-2/BR/BID-V3645/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GU131883.1	DENV-2/BR/BID-V3648/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GU131884.1	DENV-2/BR/BID-V3650/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
GU131885.1	DENV-2/BR/BID-V3653/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
HM181971.1	DENV-2/BR/BID-V3637/2008	Henn_2010	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
HQ012533.1	BR41768/RJ/90	Faria_2011	NCBI	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
HQ012534.1	BR42727/RJ/91	Faria_2011	NCBI	1991-XX-XX	Brazil	South-America	2	2_III	2III_B
HQ012535.1	BR48622/CE/94	Faria_2011	NCBI	1994-XX-XX	Brazil	South-America	2	2_III	2III_B
HQ012536.1	BR61310/RJ/98	Faria_2011	NCBI	1998-XX-XX	Brazil	South-America	2	2_III	2III_B
HQ012537.1	BR64905/RJ/99	Faria_2011	NCBI	1999-XX-XX	Brazil	South-America	2	2_III	2III_B
HQ012538.1	BR39145/RJ/90	Faria_2011	NCBI	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
HQ026763.1	BR0690/RJ/2008	Faria_2011	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
JN819404.1	DENV-2/BR/BID-V3580/2008	Henn_2019	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
JN819419.1	DENV-2/BR/BID-V2377/2000	Henn_2011	NCBI	2000-XX-XX	Brazil	South-America	2	2_III	2III
JX073928.1	BR_DEN2_01-01	Pereira_2014	NCBI	2001-XX-XX	Brazil	South-America	2	2_III	2III
JX286516.1	ACS46	Romano_2013	NCBI	2010-03-01	Brazil	South-America	2	2_III	2III_C
JX286517.1	ACS46_II	Romano_2013	NCBI	2010-03-01	Brazil	South-America	2	2_III	2III_C
JX286518.1	ACS538	Romano_2013	NCBI	2010-04-12	Brazil	South-America	2	2_III	2III_C
JX286519.1	ACS542	Romano_2013	NCBI	2010-05-04	Brazil	South-America	2	2_III	2III_C
JX286520.1	DGV37	Romano_2013	NCBI	2010-02-24	Brazil	South-America	2	2_III	2III_C
JX286521.1	ACS721	Romano_2013	NCBI	2010-05-04	Brazil	South-America	2	2_III	2III_C
JX286522.1	DGV34	Romano_2013	NCBI	2010-02-24	Brazil	South-America	2	2_III	2III_C
JX286523.1	DGV91	Romano_2013	NCBI	2010-03-24	Brazil	South-America	2	2_III	2III_C
JX286524.1	DGV106	Romano_2013	NCBI	2010-04-15	Brazil	South-America	2	2_III	2III_C
JX286525.1	DGV69	Romano_2013	NCBI	2010-03-09	Brazil	South-America	2	2_III	2III_C
JX286526.1	ACS380	Romano_2013	NCBI	2010-03-30	Brazil	South-America	2	2_III	2III_C
JX567950.1	BR0450/2008/RJ/2008	Nogueira_2012	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
JX567951.1	BR0337/2008/RJ/2008	Nogueira_2012	NCBI	2008-XX-XX	Brazil	South-America	2	2_III	2III_C
JX669476.1	13858/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	2	2_III	2III_C
JX669477.1	14905/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	2	2_III	2III_C
JX669478.1	19190/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	2	2_III	2III_C
JX669479.1	9479/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	2	2_III	2III_C
JX669480.1	3275/BR-PE/95	Silva_2013	NCBI	1995-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669481.1	3311/BR-PE/95	Silva_2013	NCBI	1995-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669482.1	3337/BR-PE/95	Silva_2013	NCBI	1995-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669483.1	37473/BR-PE/97	Silva_2013	NCBI	1997-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669484.1	47913/BR-PE/98	Silva_2013	NCBI	1998-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669485.1	51347/BR-PE/98	Silva_2013	NCBI	1998-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669486.1	57135/BR-PE/99	Silva_2013	NCBI	1999-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669487.1	72144/BR-PE/00	Silva_2013	NCBI	2000-XX-XX	Brazil	South-America	2	2_III	2III_B
JX669488.1	87086/BR-PE/02	Silva_2013	NCBI	2002-XX-XX	Brazil	South-America	2	2_III	2III_B
KP188549.1	BR/SJRP/327/2006	Vedovello_2016	NCBI	2006-05-26	Brazil	South-America	2	2_III	2III_C
KP188550.1	BR/SJRP/350/2008	Vedovello_2016	NCBI	2008-06-17	Brazil	South-America	2	2_III	2III_C
KP188551.1	BR/SJRP/567/2012	Vedovello_2016	NCBI	2012-10-31	Brazil	South-America	2	2_III	2III_C
KP188552.1	BR/SJRP/572/2012	Vedovello_2016	NCBI	2012-11-28	Brazil	South-America	2	2_III	2III_C
KP188553.1	BR/SJRP/615/2013	Vedovello_2016	NCBI	2013-01-10	Brazil	South-America	2	2_III	2III_C
KP188554.1	BR/SJRP/779/2013	Vedovello_2016	NCBI	2013-02-04	Brazil	South-America	2	2_III	2III_C
KP188555.1	BR/SJRP/846/2013	Vedovello_2016	NCBI	2013-02-07	Brazil	South-America	2	2_III	2III_C
KP188556.1	BR/SJRP/869/2013	Vedovello_2016	NCBI	2013-02-08	Brazil	South-America	2	2_III	2III_C
KP188569.1	BR/SJRP/2298/2014	Vedovello_2016	NCBI	2014-04-03	Brazil	South-America	2	2_III	2III_C
MK517773.1	BeAr849487	Aragao_2020	NCBI	2017-03-28	Brazil	South-America	2	2_III	2III_C.1.1
MN239505.1	BD-RP	Bezerra_2019	NCBI	2019-02-XX	Brazil	South-America	2	2_III	2III_C.1.1
MN560056.1	087FIG	Cunha_2020	NCBI	2019-04-25	Brazil	South-America	2	2_III	2III_C.1.1
MN589858.1	137denv2_BR_Rj	Torres_2019	NCBI	2007-08-27	Brazil	South-America	2	2_III	2III_C
MN589859.1	138denv2_BR_Rj	Torres_2019	NCBI	2007-11-22	Brazil	South-America	2	2_III	2III_C
MN589860.1	139denv2_BR_Rj	Torres_2019	NCBI	2007-12-20	Brazil	South-America	2	2_III	2III_C
MN589861.1	140denv2_BR_Rj	Torres_2019	NCBI	2008-03-17	Brazil	South-America	2	2_III	2III_C
MN589862.1	141denv2_BR_Rj	Torres_2019	NCBI	2008-03-13	Brazil	South-America	2	2_III	2III_C
MN589863.1	142denv2_BR_Rj	Torres_2019	NCBI	2008-04-30	Brazil	South-America	2	2_III	2III_C
MN589864.1	143denv2_BR_Rj	Torres_2019	NCBI	2008-03-17	Brazil	South-America	2	2_III	2III_C
MN589865.1	144denv2_BR_Rj	Torres_2019	NCBI	2008-04-07	Brazil	South-America	2	2_III	2III_C
MN589866.1	145denv2_BR_Rj	Torres_2019	NCBI	2009-12-23	Brazil	South-America	2	2_III	2III_C
MN589867.1	146denv2_BR_Rj	Torres_2019	NCBI	2010-04-29	Brazil	South-America	2	2_III	2III_C
MN589868.1	147denv2_BR_Rj	Torres_2019	NCBI	2010-03-09	Brazil	South-America	2	2_III	2III_C
MN589869.1	148denv2_BR_Rj	Torres_2019	NCBI	2010-03-09	Brazil	South-America	2	2_III	2III_C
MN589870.1	149denv2_BR_Rj	Torres_2019	NCBI	2010-07-01	Brazil	South-America	2	2_III	2III_C
MN589871.1	151denv2_BR_Rj	Torres_2019	NCBI	2010-03-09	Brazil	South-America	2	2_III	2III_C
MN589872.1	153denv2_BR_Rj	Torres_2019	NCBI	2011-02-16	Brazil	South-America	2	2_III	2III_C
MN589873.1	154denv2_BR_Rj	Torres_2019	NCBI	2011-05-18	Brazil	South-America	2	2_III	2III_C
MN589874.1	155denv2_BR_Rj	Torres_2019	NCBI	2011-04-12	Brazil	South-America	2	2_III	2III_C
MN589875.1	156denv2_BR_Rj	Torres_2019	NCBI	2011-04-12	Brazil	South-America	2	2_III	2III_C
MN589876.1	157denv2_BR_Rj	Torres_2019	NCBI	2011-04-20	Brazil	South-America	2	2_III	2III_C
MN589877.1	158denv2_BR_Rj	Torres_2019	NCBI	2011-05-04	Brazil	South-America	2	2_III	2III_C
MN589878.1	159denv2_BR_Rj	Torres_2019	NCBI	2011-05-04	Brazil	South-America	2	2_III	2III_C
MN589879.1	131denv2_BR_Rj	Torres_2019	NCBI	1999-04-09	Brazil	South-America	2	2_III	2III_B
MN589880.1	132denv2_BR_Rj	Torres_2019	NCBI	1999-04-09	Brazil	South-America	2	2_III	2III_B
MN589881.1	133denv2_BR_Rj	Torres_2019	NCBI	1999-01-12	Brazil	South-America	2	2_III	2III_B
MN589882.1	134denv2_BR_Rj	Torres_2019	NCBI	2000-05-03	Brazil	South-America	2	2_III	2III_B
MN589883.1	135denv2_BR_Rj	Torres_2019	NCBI	2001-04-02	Brazil	South-America	2	2_III	2III_B
MN589884.1	136denv2_BR_Rj	Torres_2019	NCBI	2001-05-30	Brazil	South-America	2	2_III	2III_B
MT929585.1	CB02	Adelino_2021	NCBI	2019-02-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929586.1	CB03	Adelino_2021	NCBI	2019-03-02	Brazil	South-America	2	2_III	2III_C.1.1
MT929587.1	CG02	Adelino_2021	NCBI	2019-01-21	Brazil	South-America	2	2_III	2III_C.1.1
MT929588.1	CG06	Adelino_2021	NCBI	2019-03-22	Brazil	South-America	2	2_III	2III_C.1.1
MT929589.1	CG07	Adelino_2021	NCBI	2019-03-22	Brazil	South-America	2	2_III	2III_C.1.1
MT929591.1	CG09	Adelino_2021	NCBI	2019-02-20	Brazil	South-America	2	2_III	2III_C.1.1
MT929593.1	CG11	Adelino_2021	NCBI	2018-12-14	Brazil	South-America	2	2_III	2III_C.1.1
MT929595.1	CG13	Adelino_2021	NCBI	2018-11-14	Brazil	South-America	2	2_III	2III_C.1.1
MT929596.1	CG14	Adelino_2021	NCBI	2018-11-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929598.1	CG16	Adelino_2021	NCBI	2019-01-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929599.1	CG17	Adelino_2021	NCBI	2019-01-24	Brazil	South-America	2	2_III	2III_C.1.1
MT929601.1	CG19	Adelino_2021	NCBI	2019-03-07	Brazil	South-America	2	2_III	2III_C.1.1
MT929603.1	CG21	Adelino_2021	NCBI	2019-03-14	Brazil	South-America	2	2_III	2III_C.1.1
MT929605.1	CG23	Adelino_2021	NCBI	2019-01-31	Brazil	South-America	2	2_III	2III_C.1.1
MT929606.1	CG24	Adelino_2021	NCBI	2019-03-19	Brazil	South-America	2	2_III	2III_C.1.1
MT929607.1	CG68	Adelino_2021	NCBI	2019-01-25	Brazil	South-America	2	2_III	2III_C.1.1
MT929608.1	CG69	Adelino_2021	NCBI	2019-01-23	Brazil	South-America	2	2_III	2III_C.1.1
MT929609.1	CG70	Adelino_2021	NCBI	2019-01-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929610.1	CG71	Adelino_2021	NCBI	2019-02-02	Brazil	South-America	2	2_III	2III_C.1.1
MT929611.1	CG81	Adelino_2021	NCBI	2019-01-31	Brazil	South-America	2	2_III	2III_C.1.1
MT929612.1	CG86	Adelino_2021	NCBI	2019-01-31	Brazil	South-America	2	2_III	2III_C.1.1
MT929613.1	CG87	Adelino_2021	NCBI	2019-01-25	Brazil	South-America	2	2_III	2III_C.1.1
MT929614.1	CG90	Adelino_2021	NCBI	2019-01-23	Brazil	South-America	2	2_III	2III_C.1.1
MT929615.1	CG94	Adelino_2021	NCBI	2019-01-21	Brazil	South-America	2	2_III	2III_C.1.1
MT929616.1	CG96	Adelino_2021	NCBI	2019-01-20	Brazil	South-America	2	2_III	2III_C.1.1
MT929617.1	CG99	Adelino_2021	NCBI	2019-03-06	Brazil	South-America	2	2_III	2III_C.1.1
MT929618.1	CG100	Adelino_2021	NCBI	2019-03-17	Brazil	South-America	2	2_III	2III_C.1.1
MT929619.1	CG102	Adelino_2021	NCBI	2019-01-27	Brazil	South-America	2	2_III	2III_C.1.1
MT929620.1	CG103	Adelino_2021	NCBI	2019-01-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929621.1	CG104	Adelino_2021	NCBI	2019-01-23	Brazil	South-America	2	2_III	2III_C.1.1
MT929622.1	CG105	Adelino_2021	NCBI	2019-01-27	Brazil	South-America	2	2_III	2III_C.1.1
MT929623.1	CG106	Adelino_2021	NCBI	2019-01-24	Brazil	South-America	2	2_III	2III_C.1.1
MT929625.1	CG108	Adelino_2021	NCBI	2019-03-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929626.1	CG109	Adelino_2021	NCBI	2019-01-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929627.1	CG110	Adelino_2021	NCBI	2019-03-04	Brazil	South-America	2	2_III	2III_C.1.1
MT929628.1	CG111	Adelino_2021	NCBI	2019-03-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929629.1	CG112	Adelino_2021	NCBI	2019-04-11	Brazil	South-America	2	2_III	2III_C.1.1
MT929630.1	CG116	Adelino_2021	NCBI	2019-01-15	Brazil	South-America	2	2_III	2III_C.1.1
MT929631.1	CG117	Adelino_2021	NCBI	2019-01-31	Brazil	South-America	2	2_III	2III_C.1.1
MT929632.1	CG119	Adelino_2021	NCBI	2019-01-19	Brazil	South-America	2	2_III	2III_C.1.1
MT929633.1	CG120	Adelino_2021	NCBI	2019-01-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929634.1	CG121	Adelino_2021	NCBI	2019-03-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929635.1	CG122	Adelino_2021	NCBI	2019-03-15	Brazil	South-America	2	2_III	2III_C.1.1
MT929636.1	CG123	Adelino_2021	NCBI	2019-03-19	Brazil	South-America	2	2_III	2III_C.1.1
MT929637.1	CG124	Adelino_2021	NCBI	2019-03-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929638.1	CG125	Adelino_2021	NCBI	2019-03-15	Brazil	South-America	2	2_III	2III_C.1.1
MT929640.1	CG128	Adelino_2021	NCBI	2019-03-13	Brazil	South-America	2	2_III	2III_C.1.1
MT929641.1	CG129	Adelino_2021	NCBI	2019-02-11	Brazil	South-America	2	2_III	2III_C.1.1
MT929642.1	CG130	Adelino_2021	NCBI	2019-03-15	Brazil	South-America	2	2_III	2III_C.1.1
MT929643.1	CG132	Adelino_2021	NCBI	2019-04-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929644.1	CG133	Adelino_2021	NCBI	2019-03-19	Brazil	South-America	2	2_III	2III_C.1.1
MT929645.1	CG134	Adelino_2021	NCBI	2019-01-10	Brazil	South-America	2	2_III	2III_C.1.1
MT929646.1	GO72	Adelino_2021	NCBI	2019-04-25	Brazil	South-America	2	2_III	2III_C.1.1
MT929647.1	GO75	Adelino_2021	NCBI	2019-04-29	Brazil	South-America	2	2_III	2III_C.1.1
MT929648.1	OPAS01	Adelino_2021	NCBI	2019-02-07	Brazil	South-America	2	2_III	2III_C.1.1
MT929649.1	OPAS02	Adelino_2021	NCBI	2019-03-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929650.1	OPAS03	Adelino_2021	NCBI	2019-03-27	Brazil	South-America	2	2_III	2III_C.1.1
MT929651.1	OPAS04	Adelino_2021	NCBI	2019-01-14	Brazil	South-America	2	2_III	2III_C.1.1
MT929652.1	OPAS05	Adelino_2021	NCBI	2019-04-10	Brazil	South-America	2	2_III	2III_C.1.1
MT929653.1	OPAS06	Adelino_2021	NCBI	2019-01-31	Brazil	South-America	2	2_III	2III_C.1.1
MT929654.1	OPAS07	Adelino_2021	NCBI	2019-01-31	Brazil	South-America	2	2_III	2III_C.1.1
MT929655.1	OPAS08	Adelino_2021	NCBI	2019-05-09	Brazil	South-America	2	2_III	2III_C.1.1
MT929656.1	OPAS09	Adelino_2021	NCBI	2019-02-19	Brazil	South-America	2	2_III	2III_C.1.1
MT929657.1	OPAS10	Adelino_2021	NCBI	2019-02-01	Brazil	South-America	2	2_III	2III_C.1.1
MT929658.1	OPAS11	Adelino_2021	NCBI	2019-05-25	Brazil	South-America	2	2_III	2III_C.1.1
MT929660.1	OPAS13	Adelino_2021	NCBI	2019-02-12	Brazil	South-America	2	2_III	2III_C.1.1
MT929661.1	OPAS14	Adelino_2021	NCBI	2019-02-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929662.1	OPAS15	Adelino_2021	NCBI	2019-02-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929663.1	OPAS16	Adelino_2021	NCBI	2019-02-05	Brazil	South-America	2	2_III	2III_C.1.1
MT929664.1	OPAS17	Adelino_2021	NCBI	2019-02-14	Brazil	South-America	2	2_III	2III_C.1.1
MT929666.1	OPAS19	Adelino_2021	NCBI	2019-02-26	Brazil	South-America	2	2_III	2III_C.1.1
MT929667.1	OPAS20	Adelino_2021	NCBI	2019-02-27	Brazil	South-America	2	2_III	2III_C.1.1
MT929668.1	OPAS21	Adelino_2021	NCBI	2019-02-22	Brazil	South-America	2	2_III	2III_C.1.1
MT929669.1	OPAS22	Adelino_2021	NCBI	2019-03-19	Brazil	South-America	2	2_III	2III_C.1.1
MT929670.1	OPAS23	Adelino_2021	NCBI	2019-03-19	Brazil	South-America	2	2_III	2III_C.1.1
MT929672.1	OPAS25	Adelino_2021	NCBI	2019-03-25	Brazil	South-America	2	2_III	2III_C.1.1
MT929673.1	OPAS26	Adelino_2021	NCBI	2019-03-21	Brazil	South-America	2	2_III	2III_C.1.1
MT929675.1	OPAS28	Adelino_2021	NCBI	2019-03-29	Brazil	South-America	2	2_III	2III_C.1.1
MT929676.1	OPAS29	Adelino_2021	NCBI	2019-04-02	Brazil	South-America	2	2_III	2III_C.1.1
MT929677.1	OPAS30	Adelino_2021	NCBI	2019-04-01	Brazil	South-America	2	2_III	2III_C.1.1
MT929679.1	OPAS32	Adelino_2021	NCBI	2019-04-12	Brazil	South-America	2	2_III	2III_C.1.1
MT929680.1	OPAS33	Adelino_2021	NCBI	2019-04-12	Brazil	South-America	2	2_III	2III_C.1.1
MT929681.1	OPAS34	Adelino_2021	NCBI	2019-04-12	Brazil	South-America	2	2_III	2III_C.1.1
MT929682.1	OPAS35	Adelino_2021	NCBI	2019-04-24	Brazil	South-America	2	2_III	2III_C.1.1
MT929684.1	OPAS37	Adelino_2021	NCBI	2019-05-07	Brazil	South-America	2	2_III	2III_C.1.1
MT929685.1	OPAS38	Adelino_2021	NCBI	2019-06-07	Brazil	South-America	2	2_III	2III_C.1.1
MT929686.1	OPAS39	Adelino_2021	NCBI	2019-04-06	Brazil	South-America	2	2_III	2III_C.1.1
MT929688.1	OPAS51	Adelino_2021	NCBI	2019-04-25	Brazil	South-America	2	2_III	2III_C.1.1
MT929689.1	OPAS52	Adelino_2021	NCBI	2019-04-29	Brazil	South-America	2	2_III	2III_C.1.1
MT929690.1	OPAS53	Adelino_2021	NCBI	2019-06-07	Brazil	South-America	2	2_III	2III_C.1.1
MT929691.1	OPAS54	Adelino_2021	NCBI	2019-01-16	Brazil	South-America	2	2_III	2III_C.1.1
MT929692.1	OPAS55	Adelino_2021	NCBI	2019-04-11	Brazil	South-America	2	2_III	2III_C.1.1
MT929693.1	OPAS66	Adelino_2021	NCBI	2019-01-17	Brazil	South-America	2	2_III	2III_C.1.1
MT929694.1	OPAS67	Adelino_2021	NCBI	2019-01-17	Brazil	South-America	2	2_III	2III_C.1.1
MT929695.1	OPAS68	Adelino_2021	NCBI	2019-01-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929696.1	OPAS69	Adelino_2021	NCBI	2019-01-24	Brazil	South-America	2	2_III	2III_C.1.1
MT929697.1	OPAS70	Adelino_2021	NCBI	2019-01-28	Brazil	South-America	2	2_III	2III_C.1.1
MT929698.1	OPAS71	Adelino_2021	NCBI	2019-02-01	Brazil	South-America	2	2_III	2III_C.1.1
MT929699.1	OPAS72	Adelino_2021	NCBI	2019-01-31	Brazil	South-America	2	2_III	2III_C.1.1
MT929700.1	OPAS74	Adelino_2021	NCBI	2019-02-04	Brazil	South-America	2	2_III	2III_C.1.1
MT929701.1	OPAS75	Adelino_2021	NCBI	2019-02-07	Brazil	South-America	2	2_III	2III_C.1.1
MT929702.1	OPAS76	Adelino_2021	NCBI	2019-02-11	Brazil	South-America	2	2_III	2III_C.1.1
MT929703.1	OPAS77	Adelino_2021	NCBI	2019-02-11	Brazil	South-America	2	2_III	2III_C.1.1
MT929704.1	OPAS78	Adelino_2021	NCBI	2019-02-11	Brazil	South-America	2	2_III	2III_C.1.1
MT929705.1	OPAS79	Adelino_2021	NCBI	2019-02-21	Brazil	South-America	2	2_III	2III_C.1.1
MT929706.1	OPAS80	Adelino_2021	NCBI	2019-02-22	Brazil	South-America	2	2_III	2III_C.1.1
MT929707.1	OPAS81	Adelino_2021	NCBI	2019-02-18	Brazil	South-America	2	2_III	2III_C.1.1
MT929708.1	OPAS82	Adelino_2021	NCBI	2019-03-01	Brazil	South-America	2	2_III	2III_C.1.1
