strain,Sample_ID,Sample_Source,Data_Source,date,Location,Region,Serotype,Sero_Geno,Lineage
OQ786012.1,NGS_673,Sacchi_2023,NCBI,2023-01-19,Brazil,South-America,1,1_V,1V_E
OQ786013.1,NGS_675,Sacchi_2023,NCBI,2023-01-19,Brazil,South-America,1,1_V,1V_E
OQ786014.1,NGS_676,Sacchi_2023,NCBI,2023-01-16,Brazil,South-America,1,1_V,1V_E
OQ786015.1,NGS_677,Sacchi_2023,NCBI,2023-01-16,Brazil,South-America,1,1_V,1V_E
OQ786016.1,NGS_679,Sacchi_2023,NCBI,2023-01-24,Brazil,South-America,1,1_V,1V_E
OQ786017.1,NGS_680,Sacchi_2023,NCBI,2023-01-27,Brazil,South-America,1,1_V,1V_E
OQ786018.1,NGS_681,Sacchi_2023,NCBI,2023-01-24,Brazil,South-America,1,1_V,1V_E
OQ786019.1,NGS_683,Sacchi_2023,NCBI,2023-01-26,Brazil,South-America,1,1_V,1V_E
OQ786020.1,NGS_684,Sacchi_2023,NCBI,2023-02-01,Brazil,South-America,1,1_V,1V_E
OQ786021.1,NGS_685,Sacchi_2023,NCBI,2023-02-01,Brazil,South-America,1,1_V,1V_E
OQ786022.1,NGS_686,Sacchi_2023,NCBI,2023-01-28,Brazil,South-America,1,1_V,1V_E
OQ786023.1,NGS_688,Sacchi_2023,NCBI,2023-01-08,Brazil,South-America,1,1_V,1V_E
OQ786024.1,NGS_689,Sacchi_2023,NCBI,2023-02-02,Brazil,South-America,1,1_V,1V_E
OQ786025.1,NGS_690,Sacchi_2023,NCBI,2023-01-31,Brazil,South-America,1,1_V,1V_E
OQ786026.1,NGS_692,Sacchi_2023,NCBI,2023-02-06,Brazil,South-America,1,1_V,1V_E
OQ786027.1,NGS_694,Sacchi_2023,NCBI,2023-02-08,Brazil,South-America,1,1_V,1V_E
OQ786028.1,NGS_695,Sacchi_2023,NCBI,2023-02-08,Brazil,South-America,1,1_V,1V_E
OQ786029.1,NGS_696,Sacchi_2023,NCBI,2023-02-06,Brazil,South-America,1,1_V,1V_E
OQ786030.1,NGS_697,Sacchi_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OQ786031.1,NGS_698,Sacchi_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OQ786032.1,NGS_699,Sacchi_2023,NCBI,2023-02-01,Brazil,South-America,1,1_V,1V_E
OQ786033.1,NGS_700,Sacchi_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OQ786034.1,NGS_701,Sacchi_2023,NCBI,2023-02-09,Brazil,South-America,1,1_V,1V_E
OQ786035.1,NGS_702,Sacchi_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OQ786036.1,NGS_703,Sacchi_2023,NCBI,2023-01-13,Brazil,South-America,1,1_V,1V_D.1
OQ786037.1,NGS_704,Sacchi_2023,NCBI,2023-01-19,Brazil,South-America,1,1_V,1V_E
OQ786038.1,NGS_705,Sacchi_2023,NCBI,2023-01-25,Brazil,South-America,1,1_V,1V_E
OQ786039.1,NGS_707,Sacchi_2023,NCBI,2023-01-24,Brazil,South-America,1,1_V,1V_E
OQ786040.1,NGS_709,Sacchi_2023,NCBI,2023-01-27,Brazil,South-America,1,1_V,1V_E
OQ786041.1,NGS_721,Sacchi_2023,NCBI,2023-02-07,Brazil,South-America,1,1_V,1V_E
OQ786042.1,NGS_724,Sacchi_2023,NCBI,2023-02-12,Brazil,South-America,1,1_V,1V_E
OQ786043.1,NGS_725,Sacchi_2023,NCBI,2023-02-10,Brazil,South-America,1,1_V,1V_E
OQ786044.1,NGS_727,Sacchi_2023,NCBI,2023-02-11,Brazil,South-America,1,1_V,1V_E
OQ786045.1,NGS_728,Sacchi_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OQ786046.1,NGS_729,Sacchi_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OQ821328.1,DENV1/Brazil/2016-02-08/Yale-DN00355,Vogels_2023,Yale,2016-02-08,Brazil,South-America,1,1_V,1V_A
OQ872854.1,RPD00020,La-Roque_2023,NCBI,2023-01-05,Brazil,South-America,1,1_V,1V_E
OR025593.1,SC_D_1,Sacchi_2023,NCBI,2023-03-14,Brazil,South-America,1,1_V,1V_E
OR025594.1,SC_D_2,Sacchi_2023,NCBI,2023-03-26,Brazil,South-America,1,1_V,1V_E
OR025595.1,SC_D_3,Sacchi_2023,NCBI,2023-03-17,Brazil,South-America,1,1_V,1V_E
OR025596.1,SC_D_4,Sacchi_2023,NCBI,2023-02-24,Brazil,South-America,1,1_V,1V_D.1
OR025597.1,SC_D_5,Sacchi_2023,NCBI,2023-03-30,Brazil,South-America,1,1_V,1V_E
OR025598.1,SC_D_6,Sacchi_2023,NCBI,2023-03-06,Brazil,South-America,1,1_V,1V_D.1
OR025599.1,SC_D_7,Sacchi_2023,NCBI,2023-03-27,Brazil,South-America,1,1_V,1V_E
OR025601.1,NGS 746,Sacchi_2023,NCBI,2023-03-01,Brazil,South-America,1,1_V,1V_E
OR025602.1,RJ_D_12,Sacchi_2023,NCBI,2023-03-20,Brazil,South-America,1,1_V,1V_E
OR025603.1,RJ_D_13,Sacchi_2023,NCBI,2023-03-24,Brazil,South-America,1,1_V,1V_F
OR025604.1,RJ_D_14,Sacchi_2023,NCBI,2023-03-24,Brazil,South-America,1,1_V,1V_E
OR025605.1,RJ_D_15,Sacchi_2023,NCBI,2023-03-25,Brazil,South-America,1,1_V,1V_E
OR025606.1,RJ_D_16,Sacchi_2023,NCBI,2023-03-27,Brazil,South-America,1,1_V,1V_E
OR025607.1,RJ_D_17,Sacchi_2023,NCBI,2023-03-29,Brazil,South-America,1,1_V,1V_D.2
OR025608.1,RJ_D_18,Sacchi_2023,NCBI,2023-03-31,Brazil,South-America,1,1_V,1V_E
OR025609.1,RJ_D_19,Sacchi_2023,NCBI,2023-04-03,Brazil,South-America,1,1_V,1V_E
OR025610.1,RJ_D_1,Sacchi_2023,NCBI,2023-02-27,Brazil,South-America,1,1_V,1V_E
OR025611.1,RJ_D_21,Sacchi_2023,NCBI,2023-04-08,Brazil,South-America,1,1_V,1V_D.2
OR025612.1,RJ_D_22,Sacchi_2023,NCBI,2023-04-10,Brazil,South-America,1,1_V,1V_E
OR025613.1,RJ_D_23,Sacchi_2023,NCBI,2023-04-11,Brazil,South-America,1,1_V,1V_D.2
OR025614.1,RJ_D_24,Sacchi_2023,NCBI,2023-04-12,Brazil,South-America,1,1_V,1V_E
OR025615.1,RJ_D_25,Sacchi_2023,NCBI,2023-04-13,Brazil,South-America,1,1_V,1V_E
OR025616.1,RJ_D_2,Sacchi_2023,NCBI,2023-03-01,Brazil,South-America,1,1_V,1V_E
OR025617.1,RJ_D_3,Sacchi_2023,NCBI,2023-03-09,Brazil,South-America,1,1_V,1V_F
OR025618.1,RJ_D_4,Sacchi_2023,NCBI,2023-03-09,Brazil,South-America,1,1_V,1V_E
OR025619.1,RJ_D_5,Sacchi_2023,NCBI,2023-03-13,Brazil,South-America,1,1_V,1V_E
OR025620.1,RJ_D_6,Sacchi_2023,NCBI,2023-03-13,Brazil,South-America,1,1_V,1V_E
OR025621.1,RJ_D_7,Sacchi_2023,NCBI,2023-03-14,Brazil,South-America,1,1_V,1V_F
OR025622.1,RJ_D_8,Sacchi_2023,NCBI,2023-03-14,Brazil,South-America,1,1_V,1V_E
OR025623.1,RJ_D_9,Sacchi_2023,NCBI,2023-03-17,Brazil,South-America,1,1_V,1V_E
OR025624.1,280650999,Sacchi_2023,NCBI,2023-03-26,Brazil,South-America,1,1_V,1V_E
OR025625.1,NGS 736,Sacchi_2023,NCBI,2023-02-15,Brazil,South-America,1,1_V,1V_E
OR025626.1,NGS 737,Sacchi_2023,NCBI,2023-02-15,Brazil,South-America,1,1_V,1V_E
OR025627.1,NGS 738,Sacchi_2023,NCBI,2023-02-14,Brazil,South-America,1,1_V,1V_E
OR025628.1,NGS 739,Sacchi_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OR025629.1,NGS 740,Sacchi_2023,NCBI,2023-02-15,Brazil,South-America,1,1_V,1V_D.1
OR025630.1,NGS 742,Sacchi_2023,NCBI,2023-02-28,Brazil,South-America,1,1_V,1V_E
OR025631.1,NGS 743,Sacchi_2023,NCBI,2023-02-22,Brazil,South-America,1,1_V,1V_E
OR025632.1,NGS 744,Sacchi_2023,NCBI,2023-02-21,Brazil,South-America,1,1_V,1V_E
OR025633.1,NGS 745,Sacchi_2023,NCBI,2023-03-06,Brazil,South-America,1,1_V,1V_E
OR025634.1,NGS 747,Sacchi_2023,NCBI,2023-03-07,Brazil,South-America,1,1_V,1V_D.1
OR025635.1,NGS 749,Sacchi_2023,NCBI,2023-03-07,Brazil,South-America,1,1_V,1V_E
OR025636.1,NGS 750,Sacchi_2023,NCBI,2023-03-13,Brazil,South-America,1,1_V,1V_E
OR025637.1,NGS 751,Sacchi_2023,NCBI,2023-03-05,Brazil,South-America,1,1_V,1V_E
OR025638.1,NGS 752,Sacchi_2023,NCBI,2023-03-10,Brazil,South-America,1,1_V,1V_E
OR025639.1,NGS 754,Sacchi_2023,NCBI,2023-03-19,Brazil,South-America,1,1_V,1V_E
OR025640.1,NGS 755,Sacchi_2023,NCBI,2023-03-17,Brazil,South-America,1,1_V,1V_E
OR025641.1,NGS 756,Sacchi_2023,NCBI,2023-03-15,Brazil,South-America,1,1_V,1V_E
OR025642.1,NGS 757,Sacchi_2023,NCBI,2023-03-20,Brazil,South-America,1,1_V,1V_E
OR025643.1,NGS 758,Sacchi_2023,NCBI,2023-03-15,Brazil,South-America,1,1_V,1V_D.1
OR025644.1,NGS 759,Sacchi_2023,NCBI,2023-03-21,Brazil,South-America,1,1_V,1V_E
OR025645.1,NGS 760,Sacchi_2023,NCBI,2023-03-13,Brazil,South-America,1,1_V,1V_D.1
OR025646.1,NGS 761,Sacchi_2023,NCBI,2023-03-20,Brazil,South-America,1,1_V,1V_E
OR025647.1,NGS 762,Sacchi_2023,NCBI,2023-03-20,Brazil,South-America,1,1_V,1V_E
OR025648.1,NGS 763,Sacchi_2023,NCBI,2023-03-22,Brazil,South-America,1,1_V,1V_E
OR025649.1,NGS 764,Sacchi_2023,NCBI,2023-03-21,Brazil,South-America,1,1_V,1V_E
OR025650.1,NGS 765,Sacchi_2023,NCBI,2023-03-19,Brazil,South-America,1,1_V,1V_E
OR025651.1,NGS 766,Sacchi_2023,NCBI,2023-03-24,Brazil,South-America,1,1_V,1V_E
OR025652.1,NGS 767,Sacchi_2023,NCBI,2023-03-21,Brazil,South-America,1,1_V,1V_E
OR025653.1,NGS 768,Sacchi_2023,NCBI,2023-03-27,Brazil,South-America,1,1_V,1V_D.1
OR025654.1,NGS 769,Sacchi_2023,NCBI,2023-03-27,Brazil,South-America,1,1_V,1V_E
OR025655.1,NGS 770,Sacchi_2023,NCBI,2023-03-30,Brazil,South-America,1,1_V,1V_E
OR025656.1,NGS 771,Sacchi_2023,NCBI,2023-04-03,Brazil,South-America,1,1_V,1V_E
OR025657.1,NGS 772,Sacchi_2023,NCBI,2023-03-28,Brazil,South-America,1,1_V,1V_E
OR025658.1,NGS 773,Sacchi_2023,NCBI,2023-02-05,Brazil,South-America,1,1_V,1V_E
OR025659.1,NGS 774,Sacchi_2023,NCBI,2023-02-22,Brazil,South-America,1,1_V,1V_E
OR025660.1,NGS 775,Sacchi_2023,NCBI,2023-02-28,Brazil,South-America,1,1_V,1V_E
OR025661.1,NGS 776,Sacchi_2023,NCBI,2023-02-25,Brazil,South-America,1,1_V,1V_E
OR025662.1,NGS 777,Sacchi_2023,NCBI,2023-03-02,Brazil,South-America,1,1_V,1V_E
OR025663.1,NGS 781,Sacchi_2023,NCBI,2023-03-20,Brazil,South-America,1,1_V,1V_E
OR025664.1,NGS 782,Sacchi_2023,NCBI,2023-03-28,Brazil,South-America,1,1_V,1V_E
OR025665.1,NGS 783,Sacchi_2023,NCBI,2023-03-27,Brazil,South-America,1,1_V,1V_E
OR025666.1,NGS 784,Sacchi_2023,NCBI,2023-03-29,Brazil,South-America,1,1_V,1V_E
OR167125.1,DENV-1/Brazil/DF-LACENGO-2144346305/2023,Mendonca_2023,NCBI,2023-02-13,Brazil,South-America,1,1_V,1V_E
OR167126.1,DENV-1/Brazil/DF-LACENGO-2156318005/2023,Mendonca_2023,NCBI,2023-03-13,Brazil,South-America,1,1_V,1V_E
OR167127.1,DENV-1/Brazil/DF-LACENGO-2164966601/2023,Mendonca_2023,NCBI,2023-03-30,Brazil,South-America,1,1_V,1V_E
OR167128.1,DENV-1/Brazil/MT-LACENGO-510500111/2023,Mendonca_2023,NCBI,2023-03-01,Brazil,South-America,1,1_V,1V_E
OR167129.1,DENV-1/Brazil/MT-LACENGO-510500350/2023,Mendonca_2023,NCBI,2023-03-03,Brazil,South-America,1,1_V,1V_E
OR167130.1,DENV-1/Brazil/MT-LACENGO-510500367/2023,Mendonca_2023,NCBI,2023-03-03,Brazil,South-America,1,1_V,1V_D.1
OR167131.1,DENV-1/Brazil/MT-LACENGO-510500442/2023,Mendonca_2023,NCBI,2023-03-06,Brazil,South-America,1,1_V,1V_D.1
