strain	virus	genbank_accession	date	region	iso	country	division	location	segment	length	host	lab
KX768338	Dengue virus 1	KX768338	2016-02-01	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768401	Dengue virus 1	KX768401	2016-02-29	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768371	Dengue virus 1	KX768371	2016-01-28	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768369	Dengue virus 1	KX768369	2016-01-27	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692511	Dengue virus 1	KC692511	2010-02-10	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768388	Dengue virus 1	KX768388	2016-02-22	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768349	Dengue virus 1	KX768349	2016-01-25	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768374	Dengue virus 1	KX768374	2016-01-22	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768387	Dengue virus 1	KX768387	2016-01-21	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768361	Dengue virus 1	KX768361	2016-02-01	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768409	Dengue virus 1	KX768409	2016-02-11	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768413	Dengue virus 1	KX768413	2016-02-12	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768340	Dengue virus 1	KX768340	2016-01-21	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768416	Dengue virus 1	KX768416	2016-02-19	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768407	Dengue virus 1	KX768407	2016-02-19	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768375	Dengue virus 1	KX768375	2016-02-23	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768389	Dengue virus 1	KX768389	2016-02-23	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768414	Dengue virus 1	KX768414	2016-02-23	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768353	Dengue virus 1	KX768353	2016-02-24	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768391	Dengue virus 1	KX768391	2016-02-24	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768411	Dengue virus 1	KX768411	2016-02-24	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768344	Dengue virus 1	KX768344	2016-02-25	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768405	Dengue virus 1	KX768405	2016-02-19	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768354	Dengue virus 1	KX768354	2016-02-25	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768404	Dengue virus 1	KX768404	2016-02-19	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768342	Dengue virus 1	KX768342	2016-02-19	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768341	Dengue virus 1	KX768341	2016-02-19	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768376	Dengue virus 1	KX768376	2016-02-12	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768417	Dengue virus 1	KX768417	2016-02-18	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768360	Dengue virus 1	KX768360	2016-02-25	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768384	Dengue virus 1	KX768384	2016-02-26	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768383	Dengue virus 1	KX768383	2016-02-18	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768346	Dengue virus 1	KX768346	2016-02-18	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768402	Dengue virus 1	KX768402	2016-02-17	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768357	Dengue virus 1	KX768357	2016-02-16	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768356	Dengue virus 1	KX768356	2016-02-16	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768348	Dengue virus 1	KX768348	2016-02-16	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768419	Dengue virus 1	KX768419	2016-02-15	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768418	Dengue virus 1	KX768418	2016-02-15	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768415	Dengue virus 1	KX768415	2016-02-15	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768412	Dengue virus 1	KX768412	2016-02-15	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768400	Dengue virus 1	KX768400	2016-02-15	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768347	Dengue virus 1	KX768347	2016-02-15	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768399	Dengue virus 1	KX768399	2016-02-18	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768398	Dengue virus 1	KX768398	2016-01-19	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692512	Dengue virus 1	KC692512	2010-02-17	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768410	Dengue virus 1	KX768410	2016-01-14	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768403	Dengue virus 1	KX768403	2016-03-07	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768378	Dengue virus 1	KX768378	2016-03-08	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692508	Dengue virus 1	KC692508	2009-04-24	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692507	Dengue virus 1	KC692507	2009-04-23	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692506	Dengue virus 1	KC692506	2009-04-22	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692505	Dengue virus 1	KC692505	2009-04-16	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692504	Dengue virus 1	KC692504	2009-04-16	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692503	Dengue virus 1	KC692503	2009-04-14	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692502	Dengue virus 1	KC692502	2009-04-09	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692501	Dengue virus 1	KC692501	2009-04-06	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768350	Dengue virus 1	KX768350	2016-01-18	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692499	Dengue virus 1	KC692499	2009-03-31	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692498	Dengue virus 1	KC692498	2009-03-03	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692497	Dengue virus 1	KC692497	2009-03-02	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768363	Dengue virus 1	KX768363	2016-03-10	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768364	Dengue virus 1	KX768364	2016-03-11	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768368	Dengue virus 1	KX768368	2016-03-11	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768379	Dengue virus 1	KX768379	2016-03-11	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768345	Dengue virus 1	KX768345	2016-04-13	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692496	Dengue virus 1	KC692496	2009-02-19	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692517	Dengue virus 1	KC692517	2010-12-29	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768390	Dengue virus 1	KX768390	2016-03-07	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768355	Dengue virus 1	KX768355	2016-03-07	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692500	Dengue virus 1	KC692500	2009-04-01	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768343	Dengue virus 1	KX768343	2016-03-07	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692513	Dengue virus 1	KC692513	2010-04-26	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768358	Dengue virus 1	KX768358	2016-01-14	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692514	Dengue virus 1	KC692514	2010-05-03	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768408	Dengue virus 1	KX768408	2016-02-29	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KY283853	Dengue virus 1	KY283853	2016-XX-XX	Southern South America	ARG	Argentina	ARG/Misiones		partial	1485.0	Homo sapiens	
KY283852	Dengue virus 1	KY283852	2016-XX-XX	Southern South America	ARG	Argentina	ARG/Tucuman		partial	1485.0	Homo sapiens	
KC692509	Dengue virus 1	KC692509	2009-05-05	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KC692515	Dengue virus 1	KC692515	2010-05-14	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KY283851	Dengue virus 1	KY283851	2016-XX-XX	Southern South America	ARG	Argentina	ARG/Buenos Aires		partial	1485.0	Homo sapiens	
KC692516	Dengue virus 1	KC692516	2010-05-18	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KY283850	Dengue virus 1	KY283850	2016-XX-XX	Southern South America	ARG	Argentina	ARG/Buenos Aires		partial	1485.0	Homo sapiens	
KY283849	Dengue virus 1	KY283849	2016-XX-XX	Southern South America	ARG	Argentina	ARG/Entre Rios		partial	1485.0	Homo sapiens	
KX768352	Dengue virus 1	KX768352	2016-02-23	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768392	Dengue virus 1	KX768392	2016-03-02	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KY283848	Dengue virus 1	KY283848	2016-XX-XX	Southern South America	ARG	Argentina	ARG/Formosa		partial	1485.0	Homo sapiens	
KX768394	Dengue virus 1	KX768394	2016-03-03	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768351	Dengue virus 1	KX768351	2016-03-01	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768339	Dengue virus 1	KX768339	2016-03-03	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768396	Dengue virus 1	KX768396	2016-03-02	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692510	Dengue virus 1	KC692510	2009-05-28	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
JN379473	Dengue virus 1	JN379473	2004-XX-XX	Caribbean	ABW	Aruba			partial	1485.0	Homo sapiens	
JN379475	Dengue virus 1	JN379475	1977-XX-XX	Caribbean	BHS	Bahamas			partial	1485.0	Homo sapiens	
JN379470	Dengue virus 1	JN379470	2001-XX-XX	Caribbean	BRB	Barbados			partial	1485.0	Homo sapiens	
JN379471	Dengue virus 1	JN379471	2001-XX-XX	Caribbean	BRB	Barbados			partial	1485.0	Homo sapiens	
JN379472	Dengue virus 1	JN379472	2003-XX-XX	Caribbean	BRB	Barbados			partial	1485.0	Homo sapiens	
MT269038	Dengue virus 	MT269038	2013-10-XX	Caribbean	BRB	Barbados			partial	1485.0	Homo sapiens	
JN379486	Dengue virus 1	JN379486	1995-XX-XX	Caribbean	BRB	Barbados			partial	1485.0	Homo sapiens	
KT825054	Dengue virus 1	KT825054	2013-XX-XX	Caribbean	BRB	Barbados			partial	1485.0	Homo sapiens	
JN379487	Dengue virus 1	JN379487	1999-XX-XX	Caribbean	BRB	Barbados			partial	1485.0	Homo sapiens	
JN379474	Dengue virus 1	JN379474	2005-XX-XX	Central America	BLZ	Belize			partial	1485.0	Homo sapiens	
KU728183	Dengue virus 1	KU728183	2005-XX-XX	Central America	BLZ	Belize			partial	1485.0	Homo sapiens	
KU728184	Dengue virus 1	KU728184	2005-XX-XX	Central America	BLZ	Belize			partial	1485.0	Homo sapiens	
KU728185	Dengue virus 1	KU728185	2010-XX-XX	Central America	BLZ	Belize			partial	1485.0	Homo sapiens	
KF672789	Dengue virus 1	KF672789	2001-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	2325.0	Homo sapiens	
MH401999	Dengue virus 1	MH401999	2016-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	1485.0	Homo sapiens	
JX669474	Dengue virus 	JX669474	2001-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10720.0	Homo sapiens	
HM450099	Dengue virus 1	HM450099	2005-XX-XX	Brazil-North	BRA	Brazil	BRA/Amapa		partial	2326.0	Homo sapiens	
MH401996	Dengue virus 1	MH401996	2016-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KJ651912	Dengue virus 	KJ651912	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1485.0	Homo sapiens	
KF672788	Dengue virus 1	KF672788	2001-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
MH401995	Dengue virus 1	MH401995	2016-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401994	Dengue virus 1	MH401994	2016-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401973	Dengue virus 1	MH401973	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401992	Dengue virus 1	MH401992	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401974	Dengue virus 1	MH401974	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401998	Dengue virus 1	MH401998	2016-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais		partial	1485.0	Homo sapiens	
MH401972	Dengue virus 1	MH401972	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KP858115	Dengue virus 	KP858115	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
HQ026761	Dengue virus 1	HQ026761	2009-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
KP858118	Dengue virus 	KP858118	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
JX669473	Dengue virus 	JX669473	2001-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10736.0	Homo sapiens	
MH401991	Dengue virus 1	MH401991	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
HM450088	Dengue virus 1	HM450088	2001-XX-XX	Brazil-North	BRA	Brazil	BRA/Amapa		partial	2326.0	Homo sapiens	
HM450089	Dengue virus 1	HM450089	2001-XX-XX	Brazil-North	BRA	Brazil	BRA/Roraima		partial	2326.0	Homo sapiens	
HM450098	Dengue virus 1	HM450098	2001-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Rio Grande do Norte		partial	2326.0	Homo sapiens	
MH401971	Dengue virus 1	MH401971	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
HQ603917	Dengue virus 1	HQ603917	2001-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0		
KP858119	Dengue virus 	KP858119	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
KP858117	Dengue virus 	KP858117	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
HM043710	Dengue virus 	HM043710	2009-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
KP858116	Dengue virus 	KP858116	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
HM043709	Dengue virus 	HM043709	2009-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
FJ850073	Dengue virus 	FJ850073	2001-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Northeast		complete	10692.0	Homo sapiens	
AB519681	Dengue virus 	AB519681	2001-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Distrito Federal	Brasilia	partial	10735.0		
MH401990	Dengue virus 1	MH401990	2012-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KP188543	Dengue virus 1	KP188543	2012-02-13	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10917.0	Homo sapiens	
KP903780	Dengue virus 	KP903780	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
KP858108	Dengue virus 	KP858108	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
FJ850081	Dengue virus 	FJ850081	2004-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10688.0	Homo sapiens	
FJ850093	Dengue virus 	FJ850093	2008-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10690.0	Homo sapiens	
KP903778	Dengue virus 	KP903778	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
KY818242	Dengue virus 	KY818242	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KY818239	Dengue virus 	KY818239	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
HM450097	Dengue virus 1	HM450097	2004-XX-XX	Brazil-North	BRA	Brazil	BRA/Para		partial	2326.0	Homo sapiens	
KY818238	Dengue virus 	KY818238	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KY818236	Dengue virus 	KY818236	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KY818230	Dengue virus 	KY818230	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KY818231	Dengue virus 	KY818231	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
MH401978	Dengue virus 1	MH401978	2014-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401979	Dengue virus 1	MH401979	2014-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401980	Dengue virus 1	MH401980	2014-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Sergipe		partial	1485.0	Homo sapiens	
MH401987	Dengue virus 1	MH401987	2014-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	1485.0	Homo sapiens	
KP903777	Dengue virus 	KP903777	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
KP903776	Dengue virus 	KP903776	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
KP903775	Dengue virus 	KP903775	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
KP903774	Dengue virus 	KP903774	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
HM450100	Dengue virus 1	HM450100	2006-XX-XX	Brazil-North	BRA	Brazil	BRA/Para		partial	2326.0	Homo sapiens	
MH401977	Dengue virus 1	MH401977	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KP188545	Dengue virus 1	KP188545	2013-10-25	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10621.0	Homo sapiens	
KP858109	Dengue virus 	KP858109	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
KY818289	Dengue virus 	KY818289	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KP903771	Dengue virus 	KP903771	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
KP903772	Dengue virus 	KP903772	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
MH401988	Dengue virus 1	MH401988	2014-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	1485.0	Homo sapiens	
MH401997	Dengue virus 	MH401997	2015-XX-XX	Brazil-North	BRA	Brazil	BRA/Amapa	Oiapoque	partial	1485.0	Homo sapiens	
MH401986	Dengue virus 1	MH401986	2015-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Sergipe		partial	1485.0	Homo sapiens	
MH401985	Dengue virus 1	MH401985	2015-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401984	Dengue virus 1	MH401984	2015-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401983	Dengue virus 1	MH401983	2015-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401982	Dengue virus 1	MH401982	2015-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401981	Dengue virus 1	MH401981	2015-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KP903773	Dengue virus 	KP903773	2013-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Minas Gerais	Divinopolis	partial	1485.0	Homo sapiens	
MH401993	Dengue virus 1	MH401993	2015-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
MH401989	Dengue virus 1	MH401989	2014-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Ceara		partial	1485.0	Homo sapiens	
FJ850077	Dengue virus 	FJ850077	2003-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10684.0	Homo sapiens	
KY818235	Dengue virus 	KY818235	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
JX669475	Dengue virus 	JX669475	2002-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10737.0	Homo sapiens	
KY818233	Dengue virus 	KY818233	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KF672783	Dengue virus 1	KF672783	2002-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Espirito Santo		partial	2325.0	Homo sapiens	
FJ850087	Dengue virus 	FJ850087	2006-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10690.0	Homo sapiens	
KY818237	Dengue virus 	KY818237	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KY818240	Dengue virus 	KY818240	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KY818241	Dengue virus 	KY818241	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KY818232	Dengue virus 	KY818232	2012-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
KP858110	Dengue virus 	KP858110	2013-XX-XX	Brazil-Center West	BRA	Brazil	BRA/Goias	Goiania	partial	1485.0	Homo sapiens	
