strain	virus	genbank_accession	date	region	iso	country	division	location	segment	length	host	lab
HQ012523	Dengue virus 2	HQ012523	2002-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012524	Dengue virus 2	HQ012524	2003-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012525	Dengue virus 2	HQ012525	2007-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012526	Dengue virus 2	HQ012526	2007-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012527	Dengue virus 2	HQ012527	2008-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012528	Dengue virus 2	HQ012528	2008-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012529	Dengue virus 2	HQ012529	2009-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012530	Dengue virus 2	HQ012530	2009-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012531	Dengue virus 2	HQ012531	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012532	Dengue virus 2	HQ012532	2010-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012533	Dengue virus 2	HQ012533	1990-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10173.0	Homo sapiens	
HQ012534	Dengue virus 2	HQ012534	1991-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10173.0	Homo sapiens	
HQ012522	Dengue virus 2	HQ012522	2002-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
MN589858	Dengue virus Asian/American	MN589858	2007-08-27	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
HQ012515	Dengue virus 2	HQ012515	1997-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
MK972824	Dengue virus Asian/American	MK972824	2019-03-11	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1626.0	Homo sapiens	
MN959483	Dengue virus 	MN959483	2019-02-06	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959482	Dengue virus 	MN959482	2019-02-07	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
GQ199890	Dengue virus 	GQ199890	2008-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10679.0	Homo sapiens	
MN959481	Dengue virus 	MN959481	2019-02-21	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959480	Dengue virus 	MN959480	2019-02-16	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959479	Dengue virus 	MN959479	2019-02-08	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959478	Dengue virus 	MN959478	2019-02-08	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959477	Dengue virus 	MN959477	2019-02-15	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959476	Dengue virus 	MN959476	2019-02-06	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959475	Dengue virus 	MN959475	2019-02-06	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959474	Dengue virus 	MN959474	2019-02-05	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Araraquara	partial	9976.0	Homo sapiens	
MN959473	Dengue virus 	MN959473	2019-04-15	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	partial	9976.0	Homo sapiens	
MK972823	Dengue virus Asian/American	MK972823	2019-01-14	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1626.0	Homo sapiens	
MN959472	Dengue virus 	MN959472	2019-04-29	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	partial	9976.0	Homo sapiens	
MN959470	Dengue virus 	MN959470	2019-04-08	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	partial	9976.0	Homo sapiens	
MN959469	Dengue virus 	MN959469	2019-01-13	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	partial	9976.0	Homo sapiens	
MN959468	Dengue virus 	MN959468	2019-01-18	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	partial	9976.0	Homo sapiens	
MN959467	Dengue virus 	MN959467	2019-01-17	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	partial	9976.0	Homo sapiens	
HQ012508	Dengue virus 2	HQ012508	1991-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012509	Dengue virus 2	HQ012509	1994-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012510	Dengue virus 2	HQ012510	1995-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012511	Dengue virus 2	HQ012511	1995-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
MN239505	Dengue virus 2	MN239505	2019-02-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10664.0	Homo sapiens	
HQ012512	Dengue virus 2	HQ012512	1996-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012513	Dengue virus 2	HQ012513	1996-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
HQ012514	Dengue virus 2	HQ012514	1997-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	2325.0	Homo sapiens	
MN959471	Dengue virus 	MN959471	2019-04-28	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo	Sao Jose do Rio Preto	partial	9976.0	Homo sapiens	
KP188551	Dengue virus 2	KP188551	2012-10-31	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10603.0	Homo sapiens	
MN589872	Dengue virus Asian/American	MN589872	2011-02-16	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
JN819419	Dengue virus 	JN819419	2000-XX-XX	Brazil-North	BRA	Brazil	BRA/North		complete	10601.0	Homo sapiens	
GQ330472	Dengue virus 2	GQ330472	2009-XX-XX		BRA	Brazil	BRA/Ribeirao Preto		partial	1588.0	Homo sapiens	
HM181971	Dengue virus 	HM181971	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10531.0	Homo sapiens	
MN589871	Dengue virus Asian/American	MN589871	2010-03-09	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
KP188555	Dengue virus 2	KP188555	2013-02-07	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10657.0	Homo sapiens	
KP188554	Dengue virus 2	KP188554	2013-02-04	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10699.0	Homo sapiens	
KP188552	Dengue virus 2	KP188552	2012-11-28	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10527.0	Homo sapiens	
GQ368160	Dengue virus 2	GQ368160	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368158	Dengue virus 2	GQ368158	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368161	Dengue virus 2	GQ368161	2007-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368163	Dengue virus 2	GQ368163	2007-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368164	Dengue virus 2	GQ368164	2007-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
HQ026763	Dengue virus 2	HQ026763	2008-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10176.0	Homo sapiens	
KP188569	Dengue virus 2	KP188569	2014-04-03	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10420.0	Homo sapiens	
KF955355	Dengue virus 	KF955355	2008-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	5398.0	Homo sapiens	
GQ368165	Dengue virus 2	GQ368165	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368166	Dengue virus 2	GQ368166	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368162	Dengue virus 2	GQ368162	2007-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KJ147095	Dengue virus 2	KJ147095	2006-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1470.0	Homo sapiens	
KJ147096	Dengue virus 2	KJ147096	2006-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1455.0	Homo sapiens	
KJ147097	Dengue virus 2	KJ147097	2007-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1470.0	Homo sapiens	
HQ012538	Dengue virus 2	HQ012538	1990-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10173.0	Homo sapiens	
HQ012537	Dengue virus 2	HQ012537	1999-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10173.0	Homo sapiens	
HQ012536	Dengue virus 2	HQ012536	1998-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10173.0	Homo sapiens	
JX286526	Dengue virus 2	JX286526	2010-03-30	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10630.0	Homo sapiens	
JX286525	Dengue virus 2	JX286525	2010-03-09	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10596.0	Homo sapiens	
JX286524	Dengue virus 2	JX286524	2010-04-15	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10587.0	Homo sapiens	
JX286523	Dengue virus 2	JX286523	2010-03-24	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10611.0	Homo sapiens	
JX286522	Dengue virus 2	JX286522	2010-02-24	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10599.0	Homo sapiens	
JX073928	Dengue virus 2	JX073928	2001-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10723.0		
KJ147102	Dengue virus 2	KJ147102	2006-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Piaui		partial	1448.0	Homo sapiens	
KJ147101	Dengue virus 2	KJ147101	2006-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1473.0	Homo sapiens	
KY851515	Dengue virus 	KY851515	2013-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1983.0	Homo sapiens	
GQ368159	Dengue virus 2	GQ368159	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KP188556	Dengue virus 2	KP188556	2013-02-08	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10526.0	Homo sapiens	
KJ147100	Dengue virus 2	KJ147100	2006-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1386.0	Homo sapiens	
KJ147099	Dengue virus 2	KJ147099	2006-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1448.0	Homo sapiens	
KJ147098	Dengue virus 2	KJ147098	2006-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1454.0	Homo sapiens	
GQ368167	Dengue virus 2	GQ368167	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368168	Dengue virus 2	GQ368168	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
KP188553	Dengue virus 2	KP188553	2013-01-10	Brazil-Unknown	BRA	Brazil	BRA/Unknown		complete	10403.0	Homo sapiens	
GQ368170	Dengue virus 2	GQ368170	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
JN819404	Dengue virus 	JN819404	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Sao Paulo		complete	10523.0	Homo sapiens	
MN589874	Dengue virus Asian/American	MN589874	2011-04-12	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589875	Dengue virus Asian/American	MN589875	2011-04-12	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
JX669480	Dengue virus 	JX669480	1995-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
MN589876	Dengue virus Asian/American	MN589876	2011-04-20	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
GQ368169	Dengue virus 2	GQ368169	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
JX669481	Dengue virus 	JX669481	1995-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
MN589877	Dengue virus Asian/American	MN589877	2011-05-04	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589878	Dengue virus Asian/American	MN589878	2011-05-04	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589879	Dengue virus Asian/American	MN589879	1999-04-09	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
JX669482	Dengue virus 	JX669482	1995-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10726.0	Homo sapiens	
JX669483	Dengue virus 	JX669483	1997-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10725.0	Homo sapiens	
JX669484	Dengue virus 	JX669484	1998-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
JX669485	Dengue virus 	JX669485	1998-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
MN589884	Dengue virus Asian/American	MN589884	2001-05-30	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589883	Dengue virus Asian/American	MN589883	2001-04-02	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MN589882	Dengue virus Asian/American	MN589882	2000-05-03	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
MK517773	Dengue virus 	MK517773	2017-03-28	Brazil-Northeast	BRA	Brazil	BRA/Maranhao		complete	10646.0		
MN589880	Dengue virus Asian/American	MN589880	1999-04-09	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
JX669479	Dengue virus 	JX669479	2010-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10726.0	Homo sapiens	
MN959485	Dengue virus 	MN959485	2019-02-16	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	5798.0	Homo sapiens	
MN589873	Dengue virus Asian/American	MN589873	2011-05-18	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
JX669476	Dengue virus 	JX669476	2010-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
JF804028	Dengue virus 2	JF804028	2006-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1485.0	Homo sapiens	
GQ368172	Dengue virus 2	GQ368172	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368173	Dengue virus 2	GQ368173	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368174	Dengue virus 2	GQ368174	1998-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368175	Dengue virus 2	GQ368175	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
GQ368176	Dengue virus 2	GQ368176	2008-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	1485.0	Homo sapiens	
JQ710659	Dengue virus 2	JQ710659	2001-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
JQ710658	Dengue virus 2	JQ710658	2010-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
JQ710657	Dengue virus 2	JQ710657	2011-XX-XX	Brazil-Southeast	BRA	Brazil	BRA/Rio de Janeiro		partial	2325.0	Homo sapiens	
MN589881	Dengue virus Asian/American	MN589881	1999-01-12	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	10651.0	Homo sapiens	
JX669478	Dengue virus 	JX669478	2010-XX-XX	Brazil-Northeast	BRA	Brazil	BRA/Pernambuco		complete	10723.0	Homo sapiens	
